This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard S&P 500 UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
PAYX;Paychex Inc;0.0614%;Industrials;US;US$48,911,619.87;437,923
ED;Consolidated Edison Inc;0.0614%;Utilities;US;US$48,896,997.76;487,216
KMB;Kimberly-Clark Corp;0.0614%;Consumer Staples;US;US$48,895,253.44;448,087
WEC;WEC Energy Group Inc;0.0612%;Utilities;US;US$48,712,570.34;434,662
WAB;Westinghouse Air Brake Technologies Corp;0.0605%;Industrials;US;US$48,162,745.55;230,941
PCG;PG&E Corp;0.0601%;Utilities;US;US$47,858,796.96;2,968,908
ACGL;Arch Capital Group Ltd;0.0592%;Financials;US;US$47,154,038.72;502,066
OTIS;Otis Worldwide Corp;0.0592%;Industrials;US;US$47,106,670.70;530,182
CPRT;Copart Inc;0.0588%;Industrials;US;US$46,831,507.52;1,201,424
FIS;Fidelity National Information Services Inc;0.0583%;Financials;US;US$46,412,639.37;705,681
XYL;Xylem Inc/NY;0.0581%;Industrials;US;US$46,258,907.49;328,847
KEYS;Keysight Technologies Inc;0.0578%;Information Technology;US;US$46,049,504.40;232,632
STT;State Street Corp;0.0573%;Financials;US;US$45,595,490.82;383,091
FISV;Fiserv Inc;0.0567%;Financials;US;US$45,137,543.94;734,302
KVUE;Kenvue Inc;0.0565%;Consumer Staples;US;US$44,978,834.00;2,592,440
UAL;United Airlines Holdings Inc;0.056%;Industrials;US;US$44,613,719.56;437,561
NRG;NRG Energy Inc;0.0556%;Utilities;US;US$44,286,889.55;261,295
GRMN;Garmin Ltd;0.0542%;Consumer Discretionary;US;US$43,162,204.24;220,982
VRSK;Verisk Analytics Inc;0.0533%;Industrials;US;US$42,471,609.28;188,704
WTW;Willis Towers Watson PLC;0.0531%;Financials;US;US$42,315,825.00;131,825
SNDK;Sandisk Corp/DE;0.0523%;Information Technology;US;US$41,634,128.48;186,466
VICI;VICI Properties Inc;0.0521%;Real Estate;US;US$41,515,123.54;1,440,497
MTD;Mettler-Toledo International Inc;0.0516%;Health Care;US;US$41,067,583.20;27,810
EXPE;Expedia Group Inc;0.0513%;Consumer Discretionary;US;US$40,841,363.70;159,730
OXY;Occidental Petroleum Corp;0.0512%;Energy;US;US$40,798,884.00;971,402
MTB;M&T Bank Corp;0.0504%;Financials;US;US$40,157,914.86;211,113
HUM;Humana Inc;0.0502%;Health Care;US;US$39,964,659.70;162,610
FSLR;First Solar Inc;0.0497%;Information Technology;US;US$39,574,218.76;145,003
ADM;Archer-Daniels-Midland Co;0.0495%;Consumer Staples;US;US$39,442,187.14;649,361
CSGP;CoStar Group Inc;0.0495%;Real Estate;US;US$39,401,072.00;572,690
EXE;Expand Energy Corp;0.0493%;Energy;US;US$39,292,796.01;322,257
IR;Ingersoll Rand Inc;0.0493%;Industrials;US;US$39,273,084.24;488,836
TSCO;Tractor Supply Co;0.0493%;Consumer Discretionary;US;US$39,236,996.70;716,265
TER;Teradyne Inc;0.0492%;Information Technology;US;US$39,139,635.87;215,183
IBKR;Interactive Brokers Group Inc;0.0491%;Financials;US;US$39,115,056.70;601,585
MCHP;Microchip Technology Inc;0.0491%;Information Technology;US;US$39,093,253.92;729,624
LEN;Lennar Corp;0.049%;Consumer Discretionary;US;US$38,981,131.80;296,886
SYF;Synchrony Financial;0.0488%;Financials;US;US$38,891,811.68;502,738
FITB;Fifth Third Bancorp;0.0488%;Financials;US;US$38,878,012.20;894,570
AEE;Ameren Corp;0.0488%;Utilities;US;US$38,863,586.85;365,431
FANG;Diamondback Energy Inc;0.0487%;Energy;US;US$38,808,367.29;254,331
HPE;Hewlett Packard Enterprise Co;0.0487%;Information Technology;US;US$38,788,566.39;1,773,597
DTE;DTE Energy Co;0.0483%;Utilities;US;US$38,437,189.06;280,502
ATO;Atmos Energy Corp;0.048%;Utilities;US;US$38,257,474.92;216,916
EXR;Extra Space Storage Inc;0.048%;Real Estate;US;US$38,195,686.23;286,819
CCL;Carnival Corp;0.0475%;Consumer Discretionary;US;US$37,834,547.54;1,467,593
HSY;Hershey Co/The;0.0473%;Consumer Staples;US;US$37,654,932.56;200,207
RJF;Raymond James Financial Inc;0.0471%;Financials;US;US$37,539,231.24;239,806
EME;EMCOR Group Inc;0.0467%;Industrials;US;US$37,221,576.12;60,516
PPL;PPL Corp;0.0463%;Utilities;US;US$36,889,852.50;999,725
CBOE;Cboe Global Markets Inc;0.0458%;Financials;US;US$36,508,077.87;141,411
