This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard FTSE All-World UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
600835;Shanghai Mechanical and Electrical Industry Co Ltd;0.0007%;Industrials;CN;US$360,829.83;82,600
TATATECH;Tata Technologies Ltd;0.0007%;Technology;IN;US$358,513.50;47,225
6781;Advanced Energy Solution Holding Co Ltd;0.0007%;Industrials;TW;US$358,132.87;8,000
DALLAH;Dallah Healthcare Co;0.0007%;Health Care;SA;US$359,111.81;10,363
300251;Beijing Enlight Media Co Ltd;0.0007%;Consumer Discretionary;CN;US$359,587.92;154,900
601865;Flat Glass Group Co Ltd;0.0007%;Industrials;CN;US$355,459.24;155,683
4516;Nippon Shinyaku Co Ltd;0.0007%;Health Care;JP;US$353,871.20;15,200
FAKEEHCA;New Issuer: BB Company ID:71589552;0.0007%;Health Care;SA;US$352,610.00;35,540
688126;National Silicon Industry Group Co Ltd;0.0007%;Technology;CN;US$352,864.41;117,715
00680K;Mirae Asset Securities Co Ltd;0.0007%;Financials;KR;US$354,221.58;52,673
2264;Morinaga Milk Industry Co Ltd;0.0007%;Consumer Staples;JP;US$346,042.93;14,400
4483;JMDC Inc;0.0007%;Industrials;JP;US$347,196.41;12,600
NAHDI;Nahdi Medical Co;0.0007%;Consumer Staples;SA;US$347,034.45;13,104
598;Sinotrans Ltd;0.0007%;Industrials;HK;US$347,975.75;521,000
002385;Beijing Dabeinong Technology Group Co Ltd;0.0007%;Consumer Staples;CN;US$344,508.31;602,800
3969;China Railway Signal & Communication Corp Ltd;0.0007%;Industrials;HK;US$342,312.73;777,000
1072;Dongfang Electric Corp Ltd;0.0007%;Energy;HK;US$344,682.49;125,400
BANPU/F;Banpu PCL;0.0007%;Energy;TH;US$345,625.30;2,472,757
022100;Posco DX Co Ltd;0.0007%;Technology;KR;US$341,988.51;19,801
2588;BOC Aviation Ltd;0.0007%;Industrials;HK;US$343,075.04;37,700
600021;Shanghai Electric Power Co Ltd;0.0007%;Utilities;CN;US$340,895.04;104,500
6324;Harmonic Drive Systems Inc;0.0007%;Industrials;JP;US$342,563.28;17,300
MKHZN;Agility Public Warehousing Co KSCC;0.0007%;Industrials;KW;US$342,244.03;734,628
000066;China Greatwall Technology Group Co Ltd;0.0007%;Technology;CN;US$340,786.11;160,600
ANE;Corp ACCIONA Energias Renovables SA;0.0007%;Utilities;ES;US$343,602.41;14,045
DIF/F;Digital Telecommunications Infrastructure Fund;0.0007%;Telecommunications;TH;US$337,825.60;1,182,206
TMX;Thermax Ltd;0.0007%;Industrials;IN;US$335,633.17;10,281
IVL/F;Indorama Ventures PCL;0.0007%;Basic Materials;TH;US$335,743.44;701,900
ALARABIA;Arabian Contracting Services Co;0.0007%;Consumer Discretionary;SA;US$337,500.01;10,748
AOTHAIM;Abdullah Al Othaim Markets Co;0.0007%;Consumer Staples;SA;US$340,372.50;187,778
600011;Huaneng Power International Inc;0.0006%;Utilities;CN;US$331,937.27;301,600
KREIT;Keppel REIT;0.0006%;Real Estate;SG;US$333,104.27;407,000
600150;China CSSC Holdings Ltd;0.0006%;Industrials;CN;US$332,568.20;68,400
576;Zhejiang Expressway Co Ltd;0.0006%;Industrials;HK;US$334,559.96;345,000
7164;Zenkoku Hosho Co Ltd;0.0006%;Financials;JP;US$333,149.63;16,400
RYSAS;Reysas Tasimacilik ve Lojistik Ticaret AS;0.0006%;Industrials;TR;US$328,581.09;1,033,996
023530;Lotte Shopping Co Ltd;0.0006%;Consumer Discretionary;KR;US$325,691.70;6,699
SGM;Sims Ltd;0.0006%;Utilities;AU;US$325,334.55;29,011
371;Beijing Enterprises Water Group Ltd;0.0006%;Utilities;HK;US$327,558.57;1,008,000
AURE3;Auren Energia SA;0.0006%;Utilities;BR;US$328,533.43;143,066
4743;Oneness Biotech Co Ltd;0.0006%;Health Care;TW;US$328,583.97;151,656
000009;China Baoan Group Co Ltd;0.0006%;Industrials;CN;US$321,110.77;224,300
8060;Canon Marketing Japan Inc;0.0006%;Technology;JP;US$320,021.15;7,300
3234;Mori Hills REIT Investment Corp;0.0006%;Real Estate;JP;US$322,226.85;335
601898;China Coal Energy Co Ltd;0.0006%;Energy;CN;US$324,948.97;169,900
601696;BOC International China Co Ltd;0.0006%;Financials;CN;US$316,376.83;173,100
900947;Shanghai Zhenhua Heavy Industries Co Ltd;0.0006%;Industrials;CN;US$316,934.50;1,169,500
SJVN;SJVN Ltd;0.0006%;Utilities;IN;US$315,889.76;362,902
BATA;Bata India Ltd;0.0006%;Consumer Discretionary;IN;US$314,804.27;28,181
AKER;Aker ASA;0.0006%;Financials;NO;US$319,192.18;4,091
STLA;Stellantis NV;0.0006%;Consumer Discretionary;US;US$319,075.12;29,932
6952;Casio Computer Co Ltd;0.0006%;Consumer Discretionary;JP;US$319,461.07;38,600
4205;Zeon Corp;0.0006%;Basic Materials;JP;US$317,905.16;27,800
MAVI;Mavi Giyim Sanayi Ve Ticaret AS;0.0006%;Consumer Discretionary;TR;US$313,563.68;353,154
SLCE3;SLC Agricola SA;0.0006%;Consumer Staples;BR;US$310,542.90;100,320
123;Yuexiu Property Co Ltd;0.0006%;Real Estate;HK;US$311,859.41;538,362
ERICA;Telefonaktiebolaget LM Ericsson;0.0006%;Telecommunications;SE;US$309,728.52;32,102
1772;Ganfeng Lithium Group Co Ltd;0.0006%;Basic Materials;HK;US$307,257.40;48,840
IQ;iQIYI Inc;0.0006%;Consumer Discretionary;US;US$307,725.66;140,514
4922;Kose Corp;0.0006%;Consumer Discretionary;JP;US$307,159.24;9,300
MARAFIQ;Power & Water Utility Co for Jubail & Yanbu;0.0006%;Utilities;SA;US$308,481.82;30,729
INTP;Indocement Tunggal Prakarsa Tbk PT;0.0006%;Industrials;ID;US$306,149.05;775,500
GDSP;Godrej Industries Ltd;0.0006%;Industrials;IN;US$306,365.68;26,059
COLBUN;Colbun SA;0.0006%;Utilities;CL;US$308,794.32;1,978,179
HMN;Emami Ltd;0.0006%;Consumer Staples;IN;US$301,607.61;50,854
282330;BGF retail Co Ltd;0.0006%;Consumer Staples;KR;US$301,927.72;4,100
5471;Daido Steel Co Ltd;0.0006%;Basic Materials;JP;US$303,941.04;30,000
600918;Zhongtai Securities Co Ltd;0.0006%;Financials;CN;US$294,126.85;313,600
1888;Kingboard Laminates Holdings Ltd;0.0006%;Technology;HK;US$296,609.12;204,000
1368;Xtep International Holdings Ltd;0.0006%;Consumer Discretionary;HK;US$298,483.10;413,500
SASA;Sasa Polyester Sanayi AS;0.0006%;Basic Materials;TR;US$297,290.47;4,325,220
6592;Mabuchi Motor Co Ltd;0.0006%;Industrials;JP;US$295,353.41;16,600
TLI/F;Thai Life Insurance PCL;0.0006%;Financials;TH;US$290,667.81;959,800
5714;Dowa Holdings Co Ltd;0.0006%;Basic Materials;JP;US$292,262.10;7,500
RLXF;Relaxo Footwears Ltd;0.0006%;Consumer Discretionary;IN;US$292,421.76;63,913
552;China Communications Services Corp Ltd;0.0006%;Telecommunications;HK;US$290,238.39;464,000
1060;Damai Entertainment Holdings Ltd;0.0006%;Consumer Discretionary;HK;US$285,784.01;2,500,000
002036;LianChuang Electronic Technology Co Ltd;0.0006%;Industrials;CN;US$288,396.72;198,700
PETD;Petronas Dagangan Bhd;0.0006%;Energy;MY;US$286,328.86;59,700
688012;Advanced Micro-Fabrication Equipment Inc China;0.0006%;Technology;CN;US$284,713.67;7,507
RATCH/F;Ratch Group PCL;0.0006%;Utilities;TH;US$285,333.13;311,400
AGHOL;AG Anadolu Grubu Holding AS;0.0006%;Industrials;TR;US$285,249.63;434,030
4272;Nippon Kayaku Co Ltd;0.0006%;Basic Materials;JP;US$285,595.64;27,200
2282;MGM China Holdings Ltd;0.0005%;Consumer Discretionary;HK;US$281,783.81;132,800
002380;KCC Corp;0.0005%;Industrials;KR;US$279,861.97;987
8086;Nipro Corp;0.0005%;Health Care;JP;US$279,871.84;29,000
;Sodexo SA;0.0005%;;FR;US$281,539.65;5,327
991;Datang International Power Generation Co Ltd;0.0005%;Utilities;HK;US$281,273.12;948,000
CZG;Colt CZ Group SE;0.0005%;Industrials;CZ;US$281,127.52;8,099
BTS/F;BTS Group Holdings PCL;0.0005%;Industrials;TH;US$282,372.93;3,523,642
002459;JA Solar Technology Co Ltd;0.0005%;Energy;CN;US$283,296.12;165,916
CSNA3;Cia Siderurgica Nacional SA;0.0005%;Basic Materials;BR;US$280,059.14;177,300
1508;China Reinsurance Group Corp;0.0005%;Financials;HK;US$275,996.71;1,343,000
3923;Rakus Co Ltd;0.0005%;Technology;JP;US$275,523.23;34,800
SRE*;Sempra;0.0005%;Utilities;MX;US$275,122.05;2,904
HAPV3;Hapvida Participacoes e Investimentos S/A;0.0005%;Health Care;BR;US$271,634.53;102,936
7240;NOK Corp;0.0005%;Consumer Discretionary;JP;US$269,197.05;15,100
2127;Nihon M&A Center Holdings Inc;0.0005%;Financials;JP;US$269,794.94;57,500
RGN;Region RE Ltd;0.0005%;Real Estate;AU;US$271,318.17;173,105
HART;Hartalega Holdings Bhd;0.0005%;Health Care;MY;US$268,433.15;1,109,300
PSSA3;Porto Seguro SA;0.0005%;Financials;BR;US$267,603.12;30,300
2206;Ezaki Glico Co Ltd;0.0005%;Consumer Staples;JP;US$264,338.35;7,500
1797;East Buy Holding Ltd;0.0005%;Consumer Discretionary;HK;US$266,851.62;106,000
VAPORES;Cia Sud Americana de Vapores SA;0.0005%;Industrials;CL;US$267,255.53;5,127,034
008770;Hotel Shilla Co Ltd;0.0005%;Consumer Discretionary;KR;US$267,341.31;8,641
1199;COSCO SHIPPING Ports Ltd;0.0005%;Industrials;HK;US$258,939.58;360,000
6103;OKUMA Corp;0.0005%;Industrials;JP;US$260,570.33;10,800
4208;UBE Corp;0.0005%;Basic Materials;JP;US$260,310.80;16,200
INKP;Indah Kiat Pulp & Paper Tbk PT;0.0005%;Basic Materials;ID;US$257,691.53;489,100
3292;AEON REIT Investment Corp;0.0005%;Real Estate;JP;US$259,520.67;298
TAEE11;Transmissora Alianca de Energia Eletrica S/A;0.0005%;Utilities;BR;US$254,936.37;31,300
TU/F;Thai Union Group PCL;0.0005%;Consumer Staples;TH;US$255,114.15;631,800
9449;GMO internet group Inc;0.0005%;Technology;JP;US$257,033.00;10,000
17;New World Development Co Ltd;0.0005%;Real Estate;HK;US$255,847.85;289,946
1414;SHO-BOND Holdings Co Ltd;0.0005%;Industrials;JP;US$252,768.98;7,800
002287;Tibet Cheezheng Tibetan Medicine Co Ltd;0.0005%;Health Care;CN;US$256,015.45;73,240
601992;BBMG Corp;0.0005%;Industrials;CN;US$256,997.72;1,062,400
1951;Jinxin Fertility Group Ltd;0.0005%;Health Care;HK;US$247,883.91;807,500
002466;Tianqi Lithium Corp;0.0005%;Basic Materials;CN;US$250,668.91;32,200
RBK;RBL Bank Ltd;0.0005%;Financials;IN;US$251,044.60;71,880
ARABIAND;Arabian Drilling Co;0.0005%;Energy;SA;US$247,629.25;10,125
4118;Kaneka Corp;0.0005%;Basic Materials;JP;US$250,374.88;8,900
002127;NanJi E-Commerce Co Ltd;0.0005%;Technology;CN;US$247,403.08;485,800
CENCOMAL;Cencosud Shopping SA;0.0005%;Real Estate;CL;US$250,446.55;96,530
QLG;QL Resources Bhd;0.0005%;Consumer Staples;MY;US$251,893.83;257,025
601377;Industrial Securities Co Ltd;0.0005%;Financials;CN;US$247,433.81;258,360
GMAT3;Grupo Mateus SA;0.0005%;Consumer Discretionary;BR;US$244,634.30;256,300
;Sodexo SA;0.0005%;Consumer Discretionary;FR;US$243,962.28;4,616
2593;Ito En Ltd;0.0005%;Consumer Staples;JP;US$243,372.00;11,700
2689;Nine Dragons Paper Holdings Ltd;0.0005%;Basic Materials;HK;US$243,598.44;302,000
551;Yue Yuen Industrial Holdings Ltd;0.0005%;Consumer Discretionary;HK;US$246,149.94;116,500
CUERVO*;Becle SAB de CV;0.0005%;Consumer Staples;MX;US$243,942.86;202,900
002252;Shanghai RAAS Blood Products Co Ltd;0.0005%;Health Care;CN;US$245,543.40;261,800
220;Uni-President China Holdings Ltd;0.0005%;Consumer Staples;HK;US$246,945.13;232,200
CLAS;CapitaLand Ascott Trust;0.0005%;Real Estate;SG;US$245,361.45;336,275
002050;Zhejiang Sanhua Intelligent Controls Co Ltd;0.0005%;Industrials;CN;US$246,949.78;40,616
CPFE3;CPFL Energia SA;0.0005%;Utilities;BR;US$245,529.46;26,900
5301;Tokai Carbon Co Ltd;0.0005%;Basic Materials;JP;US$241,766.10;36,700
600926;Bank of Hangzhou Co Ltd;0.0005%;Financials;CN;US$241,052.35;109,300
000921;Hisense Home Appliances Group Co Ltd;0.0005%;Consumer Discretionary;CN;US$239,728.39;63,900
2229;Calbee Inc;0.0005%;Consumer Staples;JP;US$240,251.84;12,600
2386;Sinopec Engineering Group Co Ltd;0.0005%;Industrials;HK;US$239,316.82;253,500
4681;Resorttrust Inc;0.0005%;Consumer Discretionary;JP;US$239,307.91;19,200
AWC/F;Asset World Corp PCL;0.0005%;Real Estate;TH;US$241,492.41;4,049,400
639;Shougang Fushan Resources Group Ltd;0.0005%;Energy;HK;US$239,180.95;639,920
696;TravelSky Technology Ltd;0.0005%;Technology;HK;US$236,686.96;175,000
600104;SAIC Motor Corp Ltd;0.0005%;Consumer Discretionary;CN;US$235,277.80;111,100
9507;Shikoku Electric Power Co Inc;0.0005%;Utilities;JP;US$236,378.08;23,600
7282;Toyoda Gosei Co Ltd;0.0005%;Consumer Discretionary;JP;US$233,348.29;10,200
300014;Eve Energy Co Ltd;0.0005%;Industrials;CN;US$235,253.62;23,288
2357;AviChina Industry & Technology Co Ltd;0.0005%;Industrials;HK;US$232,732.22;467,000
6951;Jeol Ltd;0.0005%;Industrials;JP;US$234,891.38;7,600
002044;Meinian Onehealth Healthcare Holdings Co Ltd;0.0005%;Health Care;CN;US$235,450.10;311,100
6078;Hygeia Healthcare Holdings Co Ltd;0.0005%;Health Care;HK;US$233,814.67;144,018
002673;Western Securities Co Ltd;0.0005%;Financials;CN;US$231,672.88;204,200
CPAXT/F;CP AXTRA PCL;0.0004%;Consumer Discretionary;TH;US$228,194.83;453,502
;SEB SA;0.0004%;;FR;US$227,298.82;4,020
6412;Heiwa Corp;0.0004%;Consumer Discretionary;JP;US$231,320.73;17,600
2451;Transcend Information Inc;0.0004%;Technology;TW;US$227,401.62;39,000
002001;Zhejiang NHU Co Ltd;0.0004%;Consumer Staples;CN;US$228,950.82;66,384
377300;Kakaopay Corp;0.0004%;Industrials;KR;US$229,340.77;6,800
RYM;Ryman Healthcare Ltd;0.0004%;Health Care;NZ;US$226,581.27;135,638
601009;Bank of Nanjing Co Ltd;0.0004%;Financials;CN;US$228,651.92;139,700
601212;Baiyin Nonferrous Group Co Ltd;0.0004%;Basic Materials;CN;US$222,024.49;319,000
139130;DGB Financial Group Inc;0.0004%;Financials;KR;US$224,080.17;23,045
GLXO;GlaxoSmithKline Pharmaceuticals Ltd;0.0004%;Health Care;IN;US$224,869.85;7,828
683;Kerry Properties Ltd;0.0004%;Real Estate;HK;US$224,301.27;83,000
9696;Tianqi Lithium Corp;0.0004%;Basic Materials;HK;US$222,712.70;35,200
603986;GigaDevice Semiconductor Inc;0.0004%;Technology;CN;US$221,581.42;7,716
2810;House Foods Group Inc;0.0004%;Consumer Staples;JP;US$217,504.65;11,600
601100;Jiangsu Hengli Hydraulic Co Ltd;0.0004%;Industrials;CN;US$220,571.60;15,392
2498;HTC Corp;0.0004%;Telecommunications;TW;US$216,447.35;136,000
601866;COSCO SHIPPING Development Co Ltd;0.0004%;Industrials;CN;US$218,608.99;608,400
139480;E-MART Inc;0.0004%;Consumer Discretionary;KR;US$219,554.48;4,129
FPE;FUCHS SE;0.0004%;Basic Materials;DE;US$216,983.39;6,120
303;VTech Holdings Ltd;0.0004%;Telecommunications;HK;US$217,325.58;26,900
2670;ABC-Mart Inc;0.0004%;Consumer Discretionary;JP;US$219,177.83;12,600
MULT3;Multiplan Empreendimentos Imobiliarios SA;0.0004%;Real Estate;BR;US$216,897.77;38,426
OR/F;PTT Oil & Retail Business PCL;0.0004%;Energy;TH;US$220,310.61;525,400
9003;Sotetsu Holdings Inc;0.0004%;Consumer Discretionary;JP;US$218,885.61;12,300
9989;Shenzhen Hepalink Pharmaceutical Group Co Ltd;0.0004%;Health Care;HK;US$216,289.05;313,000
152;Shenzhen International Holdings Ltd;0.0004%;Industrials;HK;US$216,149.04;195,000
ABMB;Alliance Bank Malaysia Bhd;0.0004%;Financials;MY;US$216,074.86;193,694
000425;XCMG Construction Machinery Co Ltd;0.0004%;Industrials;CN;US$215,044.10;147,300
FERTIGLB;Fertiglobe plc;0.0004%;Basic Materials;AE;US$212,673.31;324,115
1128;Wynn Macau Ltd;0.0004%;Consumer Discretionary;HK;US$215,379.16;256,400
000999;China Resources Sanjiu Medical & Pharmaceutical Co Ltd;0.0004%;Health Care;CN;US$213,631.47;53,742
3406;Genius Electronic Optical Co Ltd;0.0004%;Technology;TW;US$213,637.09;15,000
2201;Morinaga & Co Ltd/Japan;0.0004%;Consumer Staples;JP;US$215,584.75;12,600
2039;China International Marine Containers Group Co Ltd;0.0004%;Industrials;HK;US$214,218.75;205,650
659;CTF Services Ltd;0.0004%;Industrials;HK;US$214,190.30;220,000
AVIA;Avia Avian Tbk PT;0.0004%;Industrials;ID;US$213,351.07;7,724,700
000895;Henan Shuanghui Investment & Development Co Ltd;0.0004%;Consumer Staples;CN;US$208,468.58;54,600
8876;Relo Group Inc;0.0004%;Real Estate;JP;US$206,613.26;18,800
QAMC;Qatar Aluminum Manufacturing Co;0.0004%;Basic Materials;QA;US$208,193.69;494,477
688180;Shanghai Junshi Biosciences Co Ltd;0.0004%;Health Care;CN;US$209,559.54;39,929
YACCO;Yamama Cement Co;0.0004%;Industrials;SA;US$205,590.05;33,244
TOP/F;Thai Oil PCL;0.0004%;Energy;TH;US$209,597.76;192,800
LTTS;L&T Technology Services Ltd;0.0004%;Industrials;IN;US$204,179.72;4,113
600252;Guangxi Wuzhou Zhongheng Group Co Ltd;0.0004%;Health Care;CN;US$202,373.76;493,300
204320;HL Mando Co Ltd;0.0004%;Consumer Discretionary;KR;US$204,949.38;6,468
DWNI;Deutsche Wohnen SE;0.0004%;Real Estate;DE;US$202,020.42;7,985
605117;Ningbo Deye Technology Co Ltd;0.0004%;Industrials;CN;US$202,129.03;17,640
4206;Aica Kogyo Co Ltd;0.0004%;Basic Materials;JP;US$201,207.31;8,800
881;Zhongsheng Group Holdings Ltd;0.0004%;Consumer Discretionary;HK;US$201,543.88;134,000
4686;Justsystems Corp;0.0004%;Technology;JP;US$200,531.88;6,100
688002;Raytron Technology Co Ltd;0.0004%;Technology;CN;US$203,013.71;18,858
HWA;Honeywell Automation India Ltd;0.0004%;Industrials;IN;US$201,414.85;509
817;China Jinmao Holdings Group Ltd;0.0004%;Real Estate;HK;US$202,419.85;1,142,000
CNVRG;Converge Information and Communications Technology Solutions Inc;0.0004%;Telecommunications;PH;US$204,985.25;770,600
STARHEAL;Star Health & Allied Insurance Co Ltd;0.0004%;Financials;IN;US$203,984.62;37,393
200625;Chongqing Changan Automobile Co Ltd;0.0004%;Consumer Discretionary;CN;US$201,060.39;365,742
2238;Guangzhou Automobile Group Co Ltd;0.0004%;Consumer Discretionary;HK;US$203,554.25;382,800
300144;Songcheng Performance Development Co Ltd;0.0004%;Consumer Discretionary;CN;US$203,396.54;182,000
ASTOR;Astor Transformator Enerji Turizm Insaat Ve Petrol Sanayi Ticaret AS;0.0004%;Industrials;TR;US$201,690.43;94,573
STRS;Strauss Group Ltd;0.0004%;Consumer Staples;IL;US$203,950.19;6,776
SADAFCO;Saudia Dairy & Foodstuff Co;0.0004%;Consumer Staples;SA;US$204,742.01;3,203
2201;Yulon Motor Co Ltd;0.0004%;Consumer Discretionary;TW;US$200,721.70;176,214
8976;Daiwa Office Investment Corp;0.0004%;Real Estate;JP;US$200,205.06;82
8572;Acom Co Ltd;0.0004%;Financials;JP;US$199,983.98;65,700
CMIN3;CSN Mineracao SA;0.0004%;Basic Materials;BR;US$197,780.36;195,700
ALVO;Alvotech SA;0.0004%;Health Care;IS;US$197,683.77;38,892
14;Hysan Development Co Ltd;0.0004%;Real Estate;HK;US$198,011.71;87,000
6753;Sharp Corp/Japan;0.0004%;Technology;JP;US$197,057.03;39,500
001979;China Merchants Shekou Industrial Zone Holdings Co Ltd;0.0004%;Real Estate;CN;US$198,065.06;151,200
8570;AEON Financial Service Co Ltd;0.0004%;Financials;JP;US$199,701.38;19,900
TBIG;PT Tower Bersama Infrastructure Tbk;0.0004%;Telecommunications;ID;US$197,071.35;1,653,513
754;Hopson Development Holdings Ltd;0.0004%;Real Estate;HK;US$197,190.51;506,682
PGAS;Perusahaan Gas Negara Tbk PT;0.0004%;Utilities;ID;US$195,726.81;1,806,000
BRSAN;Borusan Birlesik Boru Fabrikalari Sanayi ve Ticaret AS;0.0004%;Basic Materials;TR;US$195,244.59;18,734
600010;Inner Mongolia BaoTou Steel Union Co Ltd;0.0004%;Basic Materials;CN;US$199,825.86;581,300
10;Hang Lung Group Ltd;0.0004%;Real Estate;HK;US$192,725.03;96,000
DRR;Deterra Royalties Ltd;0.0004%;Basic Materials;AU;US$191,549.98;72,120
;Sodexo SA;0.0004%;Consumer Discretionary;FR;US$193,806.25;3,667
600018;Shanghai International Port Group Co Ltd;0.0004%;Industrials;CN;US$190,356.42;246,000
CTALPEKA;Controladora Alpek SAB de CV;0.0004%;Basic Materials;MX;US$185,811.18;1,211,641
KTC/F;Krungthai Card PCL;0.0004%;Financials;TH;US$184,685.51;218,200
3320;China Resources Pharmaceutical Group Ltd;0.0004%;Health Care;HK;US$187,647.71;305,000
002429;Shenzhen MTC Co Ltd;0.0004%;Consumer Discretionary;CN;US$187,885.33;207,200
293;Cathay Pacific Airways Ltd;0.0004%;Consumer Discretionary;HK;US$188,274.85;121,545
001450;Hyundai Marine & Fire Insurance Co Ltd;0.0004%;Financials;KR;US$187,392.34;9,171
MANYAVAR;Vedant Fashions Ltd;0.0004%;Consumer Discretionary;IN;US$187,664.90;27,602
4587;PeptiDream Inc;0.0004%;Health Care;JP;US$189,349.57;16,600
4812;Dentsu Soken Inc;0.0004%;Technology;JP;US$187,311.76;3,700
002230;Iflytek Co Ltd;0.0004%;Technology;CN;US$180,736.32;25,800
NIC;National Industrialization Co;0.0004%;Basic Materials;SA;US$183,119.15;68,765
3549;Kusuri no Aoki Holdings Co Ltd;0.0004%;Consumer Staples;JP;US$180,311.44;7,200
300458;All Winner Technology Co Ltd;0.0004%;Technology;CN;US$183,124.12;30,836
ARI;African Rainbow Minerals Ltd;0.0004%;Basic Materials;ZA;US$183,504.05;17,533
2222;Kotobuki Spirits Co Ltd;0.0004%;Consumer Staples;JP;US$182,910.93;15,500
1722;Taiwan Fertilizer Co Ltd;0.0004%;Basic Materials;TW;US$183,670.54;122,000
MONDE;Monde Nissin Corp;0.0004%;Consumer Staples;PH;US$181,242.32;1,739,600
603799;Zhejiang Huayou Cobalt Co Ltd;0.0003%;Basic Materials;CN;US$176,246.05;20,150
KIO;Kumba Iron Ore Ltd;0.0003%;Basic Materials;ZA;US$179,103.90;9,174
097950;CJ CheilJedang Corp;0.0003%;Consumer Staples;KR;US$176,073.16;1,236
002353;Yantai Jereh Oilfield Services Group Co Ltd;0.0003%;Energy;CN;US$177,218.12;22,200
002311;Guangdong Haid Group Co Ltd;0.0003%;Consumer Staples;CN;US$174,450.24;22,100
3918;NagaCorp Ltd;0.0003%;Consumer Discretionary;HK;US$178,870.11;273,061
600160;Zhejiang Juhua Co Ltd;0.0003%;Basic Materials;CN;US$175,448.97;37,000
SK;SEB SA;0.0003%;Consumer Discretionary;FR;US$175,449.81;3,103
APPC;Advanced Petrochemical Co;0.0003%;Basic Materials;SA;US$174,400.66;20,652
002064;Huafon Chemical Co Ltd;0.0003%;Basic Materials;CN;US$175,981.16;132,200
MFG;Magellan Financial Group Ltd;0.0003%;Financials;AU;US$169,593.43;27,193
MYOR;Mayora Indah Tbk PT;0.0003%;Consumer Staples;ID;US$174,203.66;1,330,900
900934;Shanghai Jinjiang International Hotels Co Ltd;0.0003%;Consumer Discretionary;CN;US$169,945.50;127,300
TKA;Telekom Austria AG;0.0003%;Telecommunications;AT;US$169,784.89;16,401
1618;Metallurgical Corp of China Ltd;0.0003%;Industrials;HK;US$174,199.80;625,000
002736;Guosen Securities Co Ltd;0.0003%;Financials;CN;US$173,986.80;94,900
QACCO;Qassim Cement Co/The;0.0003%;Industrials;SA;US$173,816.95;15,555
UNVR;Unilever Indonesia Tbk PT;0.0003%;Consumer Staples;ID;US$168,145.30;1,077,100
000028;China National Accord Medicines Corp Ltd;0.0003%;Consumer Staples;CN;US$166,548.30;47,320
601169;Bank of Beijing Co Ltd;0.0003%;Financials;CN;US$167,291.61;208,200
600893;AECC Aviation Power Co Ltd;0.0003%;Industrials;CN;US$166,204.03;31,600
383220;F&F Co Ltd / New;0.0003%;Consumer Discretionary;KR;US$168,831.47;3,420
ENRG;Energix-Renewable Energies Ltd;0.0003%;Utilities;IL;US$165,493.79;37,889
8424;Fuyo General Lease Co Ltd;0.0003%;Consumer Discretionary;JP;US$168,834.35;6,300
GTCAP;GT Capital Holdings Inc;0.0003%;Consumer Discretionary;PH;US$163,963.57;16,593
HPHT;Hutchison Port Holdings Trust;0.0003%;Industrials;SG;US$164,178.00;781,800
2204;China Motor Corp;0.0003%;Consumer Discretionary;TW;US$164,079.02;85,400
165;China Everbright Ltd;0.0003%;Financials;HK;US$167,647.97;146,000
DFI;DFI Retail Group Holdings Ltd;0.0003%;Consumer Staples;SG;US$164,432.00;47,800
601229;Bank of Shanghai Co Ltd;0.0003%;Financials;CN;US$159,473.19;114,100
ILCO;Israel Corp Ltd;0.0003%;Basic Materials;IL;US$162,501.47;589
TPG;TPG Telecom Ltd;0.0003%;Telecommunications;AU;US$159,332.33;64,789
2296;Itoham Yonekyu Holdings Inc;0.0003%;Consumer Staples;JP;US$162,127.52;4,400
SEERA;Seera Group Holding;0.0003%;Consumer Discretionary;SA;US$161,302.25;21,337
068760;Celltrion Pharm Inc;0.0003%;Health Care;KR;US$160,953.05;3,824
AWL;Adani Wilmar Ltd;0.0003%;Consumer Staples;IN;US$163,031.23;56,304
;SEB SA;0.0003%;;FR;US$161,031.60;2,848
000998;Yuan Longping High-tech Agriculture Co Ltd;0.0003%;Consumer Staples;CN;US$159,942.28;116,800
600584;JCET Group Co Ltd;0.0003%;Technology;CN;US$162,050.80;31,900
SITES1;Operadora De Sites Mexicanos SAB de CV;0.0003%;Telecommunications;MX;US$153,766.62;188,970
011170;Lotte Chemical Corp;0.0003%;Industrials;KR;US$155,873.25;3,175
NEOE3;Neoenergia SA;0.0003%;Utilities;BR;US$154,101.47;25,500
SPEN;Shapir Engineering and Industry Ltd;0.0003%;Industrials;IL;US$148,956.97;16,551
363;Shanghai Industrial Holdings Ltd;0.0003%;Real Estate;HK;US$149,157.42;76,000
6099;China Merchants Securities Co Ltd;0.0003%;Financials;HK;US$150,928.25;80,100
601607;Shanghai Pharmaceuticals Holding Co Ltd;0.0003%;Health Care;CN;US$148,648.67;59,000
;Sodexo SA;0.0003%;Consumer Discretionary;FR;US$150,256.66;2,843
ARPT;Airport City Ltd;0.0003%;Real Estate;IL;US$144,215.55;7,683
SNT;Santam Ltd;0.0003%;Financials;ZA;US$147,655.29;6,049
1579;Yihai International Holding Ltd;0.0003%;Consumer Staples;HK;US$145,168.00;91,000
