This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard FTSE All-World UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
SNPS;Synopsys Inc;0.0809%;Technology;US;US$42,111,163.42;100,742
ENEL;Enel SpA;0.0806%;Utilities;IT;US$41,906,864.00;4,053,602
INGA;ING Groep NV;0.0804%;Financials;NL;US$41,824,510.30;1,612,462
ELV;Elevance Health Inc;0.0802%;Health Care;US;US$41,714,899.72;123,322
RIO;Rio Tinto PLC;0.0802%;Basic Materials;GB;US$41,702,552.97;580,480
NOC;Northrop Grumman Corp;0.0802%;Industrials;US;US$41,701,574.25;72,873
MRVL;Marvell Technology Inc;0.0801%;Technology;US;US$41,642,877.60;465,804
CS;AXA SA;0.0799%;Financials;FR;US$41,570,014.46;920,803
MCO;Moody's Corp;0.0796%;Financials;US;US$41,423,795.12;84,404
TDG;TransDigm Group Inc;0.0796%;Industrials;US;US$41,407,655.31;30,443
MDLZ;Mondelez International Inc;0.0794%;Consumer Staples;US;US$41,297,263.80;717,340
USB;US Bancorp;0.0792%;Financials;US;US$41,189,001.75;839,735
NKE;NIKE Inc;0.0788%;Consumer Discretionary;US;US$41,013,487.07;634,589
JCI;Johnson Controls International plc;0.0784%;Industrials;US;US$40,781,310.06;350,626
EMR;Emerson Electric Co;0.078%;Industrials;US;US$40,570,194.60;304,170
AON;Aon PLC;0.0777%;Financials;US;US$40,428,281.60;114,230
REL;RELX PLC;0.0775%;Technology;GB;US$40,314,243.47;1,003,822
PNC;PNC Financial Services Group Inc/The;0.0774%;Financials;US;US$40,276,821.76;211,183
EQIX;Equinix Inc;0.0772%;Real Estate;US;US$40,164,229.27;53,317
NG/;National Grid PLC;0.077%;Utilities;GB;US$40,056,549.95;2,636,839
WMB;Williams Cos Inc/The;0.0761%;Energy;US;US$39,613,395.78;650,146
CI;Cigna Group/The;0.0761%;Health Care;US;US$39,577,283.52;142,734
ABX;Barrick Mining Corp;0.076%;Basic Materials;CA;US$39,536,704.24;943,285
UPS;United Parcel Service Inc;0.0751%;Industrials;US;US$39,044,674.53;407,607
